id,dataset,index,longitude
GOMu0.04_292,GOMu0.04/expt_90.1m000,292,-86.32000732421875
GOMu0.04_293,GOMu0.04/expt_90.1m000,293,-86.280029296875
GOMu0.04_294,GOMu0.04/expt_90.1m000,294,-86.239990234375
GOMu0.04_295,GOMu0.04/expt_90.1m000,295,-86.20001220703125
GOMu0.04_296,GOMu0.04/expt_90.1m000,296,-86.1600341796875
GOMu0.04_297,GOMu0.04/expt_90.1m000,297,-86.1199951171875
GOMu0.04_298,GOMu0.04/expt_90.1m000,298,-86.08001708984375
GOMu0.04_299,GOMu0.04/expt_90.1m000,299,-86.03997802734375
GOMu0.04_300,GOMu0.04/expt_90.1m000,300,-86.0
GOMu0.04_301,GOMu0.04/expt_90.1m000,301,-85.96002197265625
GOMu0.04_302,GOMu0.04/expt_90.1m000,302,-85.91998291015625
GOMu0.04_303,GOMu0.04/expt_90.1m000,303,-85.8800048828125
GOMu0.04_304,GOMu0.04/expt_90.1m000,304,-85.8399658203125
GOMu0.04_305,GOMu0.04/expt_90.1m000,305,-85.79998779296875
GOMu0.04_306,GOMu0.04/expt_90.1m000,306,-85.760009765625
GOMu0.04_307,GOMu0.04/expt_90.1m000,307,-85.719970703125
GOMu0.04_308,GOMu0.04/expt_90.1m000,308,-85.67999267578125
GOMu0.04_309,GOMu0.04/expt_90.1m000,309,-85.6400146484375
GOMu0.04_310,GOMu0.04/expt_90.1m000,310,-85.5999755859375
GOMu0.04_311,GOMu0.04/expt_90.1m000,311,-85.55999755859375
GOMu0.04_312,GOMu0.04/expt_90.1m000,312,-85.52001953125
GOMu0.04_313,GOMu0.04/expt_90.1m000,313,-85.47998046875
GOMu0.04_314,GOMu0.04/expt_90.1m000,314,-85.44000244140625
GOMu0.04_315,GOMu0.04/expt_90.1m000,315,-85.4000244140625
GOMu0.04_316,GOMu0.04/expt_90.1m000,316,-85.3599853515625
GOMu0.04_317,GOMu0.04/expt_90.1m000,317,-85.32000732421875
GOMu0.04_318,GOMu0.04/expt_90.1m000,318,-85.280029296875
GOMu0.04_319,GOMu0.04/expt_90.1m000,319,-85.239990234375
GOMu0.04_320,GOMu0.04/expt_90.1m000,320,-85.20001220703125
GOMu0.04_321,GOMu0.04/expt_90.1m000,321,-85.1600341796875
GOMu0.04_322,GOMu0.04/expt_90.1m000,322,-85.1199951171875
GOMu0.04_323,GOMu0.04/expt_90.1m000,323,-85.08001708984375
GOMu0.04_324,GOMu0.04/expt_90.1m000,324,-85.03997802734375
GOMu0.04_325,GOMu0.04/expt_90.1m000,325,-85.0
GOMu0.04_326,GOMu0.04/expt_90.1m000,326,-84.96002197265625
GOMu0.04_327,GOMu0.04/expt_90.1m000,327,-84.91998291015625
GOMu0.04_328,GOMu0.04/expt_90.1m000,328,-84.8800048828125
GOMu0.04_329,GOMu0.04/expt_90.1m000,329,-84.8399658203125
GOMu0.04_330,GOMu0.04/expt_90.1m000,330,-84.79998779296875
GOMu0.04_331,GOMu0.04/expt_90.1m000,331,-84.760009765625
GOMu0.04_332,GOMu0.04/expt_90.1m000,332,-84.719970703125
GOMu0.04_333,GOMu0.04/expt_90.1m000,333,-84.67999267578125
